"ETHNICITY","Ethnic group","YEAR","Year","SEX","Sex","AREA","Area","AGE","Age group",Value,Flags
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1297","Tikokino","999999","Total people - age group",147,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1298","Ongaonga","999999","Total people - age group",189,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1299","Takapau","999999","Total people - age group",513,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1304","Porangahau","999999","Total people - age group",120,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1305","Oakura (New Plymouth District)","999999","Total people - age group",1377,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1306","Okato","999999","Total people - age group",531,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1307","New Plymouth","999999","Total people - age group",46641,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1308","Waitara","999999","Total people - age group",6291,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1313","Inglewood","999999","Total people - age group",3087,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1314","Other rural New Plymouth District","999999","Total people - age group",9891,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1315","Midhirst","999999","Total people - age group",228,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1316","Stratford","999999","Total people - age group",5340,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1321","Eltham","999999","Total people - age group",1899,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1322","Ohawe","999999","Total people - age group",213,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1323","Normanby","999999","Total people - age group",846,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1324","Hawera","999999","Total people - age group",8814,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1330","Ohura","999999","Total people - age group",162,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1331","Taumarunui","999999","Total people - age group",4992,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1332","Owhango","999999","Total people - age group",189,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1333","Other rural Ruapehu District","999999","Total people - age group",4308,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1338","Rangataua","999999","Total people - age group",120,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1339","Waiouru","999999","Total people - age group",1362,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1340","Kai Iwi","999999","Total people - age group",168,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1341","Other rural Whanganui District","999999","Total people - age group",4743,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1346","Taihape","999999","Total people - age group",1839,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1347","Marton","999999","Total people - age group",4929,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1348","Hunterville","999999","Total people - age group",441,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1349","Mangaweka","999999","Total people - age group",111,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1355","Himatangi Beach","999999","Total people - age group",450,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1356","Rongotea","999999","Total people - age group",618,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1357","Feilding","999999","Total people - age group",13638,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1358","Other rural Manawatu District","999999","Total people - age group",9501,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1363","Longburn","999999","Total people - age group",306,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1364","Palmerston North","999999","Total people - age group",70686,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1365","Ashhurst","999999","Total people - age group",2433,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1366","Other rural Palmerston North City","999999","Total people - age group",3654,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1371","Ormondville","999999","Total people - age group",75,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1372","Eketahuna","999999","Total people - age group",456,
"9999","Total people - ethnic group","2006","2006","9","Total people - sex","1373","Other rural Tararua District","999999","Total people - age group",7341,
